кешью;;25.20;;53.60;;12.60;;633.00;;0.00
клубника;;0.90;;0.50;;7.20;;36.00;;32.00
клюква;;0.50;;0.00;;3.80;;26.00;;45.00
кокосовый орех;;3.40;;33.50;;29.50;;380.00;;0.00
колбаса диетическая;;12.10;;13.50;;0.00;;170.00;;0.00
колбаса докторская;;12.80;;22.20;;1.50;;257.00;;0.00
колбаса закусочная;;15.00;;33.00;;2.30;;366.00;;0.00
колбаса зернистая;;9.90;;63.20;;0.00;;608.00;;0.00
колбаса краковская;;16.20;;44.60;;0.00;;466.00;;0.00
колбаса любительская;;12.20;;28.00;;0.00;;301.00;;0.00
колбаса любительская;;20.90;;47.80;;0.00;;514.00;;0.00
колбаса молочная;;11.70;;22.80;;0.00;;252.00;;0.00
колбаса московская;;11.50;;21.80;;2.00;;250.00;;0.00
колбаса одесская;;14.80;;38.10;;0.00;;402.00;;0.00
колбаса полтавская;;16.40;;39.00;;0.00;;417.00;;0.00
колбаса салями;;19.30;;45.00;;1.90;;485.00;;0.00
колбаса свиная;;10.20;;25.10;;1.90;;274.00;;0.00
колбаса свиная;;13.00;;57.30;;0.00;;568.00;;0.00
колбаса сервелат;;16.10;;40.10;;0.00;;425.00;;0.00
колбаса сервелат;;24.00;;40.50;;0.00;;461.00;;0.00
колбаса столичная;;15.10;;28.70;;0.00;;319.00;;0.00
колбаса столичная;;24.00;;43.40;;1.90;;487.00;;0.00
колбаса таллинская;;17.10;;33.80;;0.00;;373.00;;0.00
колбаса украинская;;16.50;;34.40;;0.00;;376.00;;0.00
колбаса чайная;;11.70;;18.40;;1.90;;216.00;;0.00
коньяк;;0.00;;0.00;;0.10;;239.00;;0.00
кофе натуральный;;13.90;;14.40;;2.80;;202.00;;0.00
кофе растворимый;;15.00;;3.60;;0.00;;95.00;;0.00
краб;;16.00;;3.60;;0.00;;96.00;;0.00
креветка;;18.90;;2.20;;0.00;;95.00;;0.00
крекеры;;9.20;;14.10;;66.10;;439.00;;71.00
криль;;20.60;;1.70;;0.00;;98.00;;0.00
кролик;;24.60;;11.70;;0.00;;204.00;;0.00
крупа гречневая;;12.60;;2.60;;68.00;;330.00;;54.00
