айвовый сок;;0.50;;0.00;;10.60;;45.00;;0.00
айран (тан) газированный;;1.10;;1.50;;1.40;;24.00;;0.00
айран (тан) из козьего молока;;1.10;;1.50;;1.40;;24.00;;0.00
айран (тан) негазированный;;1.10;;1.50;;1.40;;24.00;;0.00
айран (тан) негазированный нежирный;;1.10;;0.20;;1.40;;12.00;;0.00
айран (тан) с укропом и огурцом;;1.10;;1.00;;1.40;;19.00;;0.00
айран (тан) сильногазированный;;1.10;;1.00;;1.40;;19.00;;0.00
активиа быстрый завтрак клубника;;4.30;;2.80;;20.90;;127.00;;0.00
активиа быстрый завтрак натуральный;;4.80;;3.10;;14.40;;107.00;;0.00
активиа быстрый завтрак с овсянкой яблоко-груша;;3.60;;3.10;;16.70;;110.00;;0.00
активиа кефирная 1%;;2.90;;1.00;;4.50;;39.00;;0.00
активиа кефирная 3%;;2.90;;3.00;;3.60;;53.00;;0.00
активиа момент удовольствия вишня;;4.30;;2.70;;13.70;;97.00;;0.00
активиа момент удовольствия земляника;;4.30;;2.70;;12.90;;97.00;;0.00
активиа питьевая ананас;;2.80;;2.00;;12.20;;77.00;;0.00
активиа питьевая вишня и черная смородина;;2.60;;2.00;;12.80;;81.00;;0.00
активиа питьевая злаки;;2.80;;2.20;;12.40;;81.00;;0.00
активиа питьевая клубника и земляника;;2.80;;2.20;;12.40;;81.00;;0.00
активиа питьевая малина и злаки;;2.80;;2.10;;11.00;;74.00;;0.00
активиа питьевая натуральная;;3.20;;2.40;;4.50;;52.00;;0.00
активиа питьевая чернослив;;2.80;;2.00;;12.80;;80.00;;0.00
активиа питьевая яблоко и злаки;;2.80;;2.20;;13.00;;83.00;;0.00
активиа семейная клубника;;3.90;;3.20;;13.60;;98.00;;0.00
активиа семейная персик;;3.90;;3.20;;13.60;;98.00;;0.00
активиа творожная клубника;;5.00;;4.50;;15.50;;123.00;;0.00
активиа творожная малина;;4.20;;4.50;;11.40;;102.00;;0.00
активиа творожная мюсли;;5.00;;4.50;;15.50;;123.00;;0.00
активиа творожная мюсли и манго;;4.80;;4.50;;14.70;;119.00;;0.00
активиа творожная натуральная;;5.90;;4.50;;3.70;;79.00;;0.00
активиа творожная отруби и злаки;;4.90;;4.30;;13.70;;113.00;;0.00
активиа творожная чернослив;;4.70;;4.20;;14.40;;114.00;;0.00
активиа фреш арбуз;;2.80;;1.60;;12.30;;74.00;;0.00
активиа фреш вишня;;2.80;;1.60;;11.00;;70.00;;0.00
активиа фреш гранат и малина;;2.80;;1.60;;11.00;;70.00;;0.00
активиа фреш манго;;2.80;;1.60;;12.00;;73.00;;0.00
активиа фреш персик;;2.80;;1.60;;11.00;;70.00;;0.00
акула катран;;19.90;;7.00;;0.00;;142.00;;0.00
алыча;;0.20;;0.00;;6.90;;27.00;;0.00
ананас;;0.40;;0.20;;10.60;;49.00;;0.00
ананас консервированный;;0.10;;0.10;;14.00;;57.00;;0.00
ананасовый компот;;0.10;;0.10;;14.00;;71.00;;0.00
ананасовый нектар;;0.10;;0.00;;12.90;;54.00;;0.00
